first_commit_message,title,first_comment,files_changed,file_extension,labels,lines_added,lines_removed,everything,all_excluding_first_commit,all_excluding_title,all_excluding_first_comment,all_excluding_labels,all_without_file_extensions,all_string_data,title_commit_comment,final_tag
Update nice-urls.markdown,Update nice-urls.markdown,added url rewrite settings for IIS,1,markdown,,34,0,Update nice-urls.markdown Update nice-urls.markdown added url rewrite settings for IIS 1 markdown  34 0,Update nice-urls.markdown added url rewrite settings for IIS 1 markdown  34 0,Update nice-urls.markdown added url rewrite settings for IIS 1 markdown  34 0,Update nice-urls.markdown Update nice-urls.markdown 1 markdown  34 0,Update nice-urls.markdown Update nice-urls.markdown added url rewrite settings for IIS 1 markdown 34 0,Update nice-urls.markdown Update nice-urls.markdown added url rewrite settings for IIS 1  34 0,Update nice-urls.markdown Update nice-urls.markdown added url rewrite settings for IIS markdown ,Update nice-urls.markdown Update nice-urls.markdown added url rewrite settings for IIS,documentation
Add error logging to nagios wrapper,Add error logging to nagios wrapper,Logs a debug message showing the output of each command and logs an error if stderr receives output.,1,py,,11,1,Add error logging to nagios wrapper Add error logging to nagios wrapper Logs a debug message showing the output of each command and logs an error if stderr receives output. 1 py  11 1,Add error logging to nagios wrapper Logs a debug message showing the output of each command and logs an error if stderr receives output. 1 py  11 1,Add error logging to nagios wrapper Logs a debug message showing the output of each command and logs an error if stderr receives output. 1 py  11 1,Add error logging to nagios wrapper Add error logging to nagios wrapper 1 py  11 1,Add error logging to nagios wrapper Add error logging to nagios wrapper Logs a debug message showing the output of each command and logs an error if stderr receives output. 1 py 11 1,Add error logging to nagios wrapper Add error logging to nagios wrapper Logs a debug message showing the output of each command and logs an error if stderr receives output. 1  11 1,Add error logging to nagios wrapper Add error logging to nagios wrapper Logs a debug message showing the output of each command and logs an error if stderr receives output. py ,Add error logging to nagios wrapper Add error logging to nagios wrapper Logs a debug message showing the output of each command and logs an error if stderr receives output.,feature
Don't markdown project owner's name in tooltip,Don't markdown project owner's name in tooltip,This change passes current unit tests. I added a tooltipHTML method to allow mixing markdown and plain HTML text.,3,php,,10,5,Don't markdown project owner's name in tooltip Don't markdown project owner's name in tooltip This change passes current unit tests. I added a tooltipHTML method to allow mixing markdown and plain HTML text. 3 php  10 5,Don't markdown project owner's name in tooltip This change passes current unit tests. I added a tooltipHTML method to allow mixing markdown and plain HTML text. 3 php  10 5,Don't markdown project owner's name in tooltip This change passes current unit tests. I added a tooltipHTML method to allow mixing markdown and plain HTML text. 3 php  10 5,Don't markdown project owner's name in tooltip Don't markdown project owner's name in tooltip 3 php  10 5,Don't markdown project owner's name in tooltip Don't markdown project owner's name in tooltip This change passes current unit tests. I added a tooltipHTML method to allow mixing markdown and plain HTML text. 3 php 10 5,Don't markdown project owner's name in tooltip Don't markdown project owner's name in tooltip This change passes current unit tests. I added a tooltipHTML method to allow mixing markdown and plain HTML text. 3  10 5,Don't markdown project owner's name in tooltip Don't markdown project owner's name in tooltip This change passes current unit tests. I added a tooltipHTML method to allow mixing markdown and plain HTML text. php ,Don't markdown project owner's name in tooltip Don't markdown project owner's name in tooltip This change passes current unit tests. I added a tooltipHTML method to allow mixing markdown and plain HTML text.,feature
Added example configuration file,Added example configuration file,self-explaining config file,1,conf,,111,0,Added example configuration file Added example configuration file self-explaining config file 1 conf  111 0,Added example configuration file self-explaining config file 1 conf  111 0,Added example configuration file self-explaining config file 1 conf  111 0,Added example configuration file Added example configuration file 1 conf  111 0,Added example configuration file Added example configuration file self-explaining config file 1 conf 111 0,Added example configuration file Added example configuration file self-explaining config file 1  111 0,Added example configuration file Added example configuration file self-explaining config file conf ,Added example configuration file Added example configuration file self-explaining config file,documentation
fix clang device compile,fix clang device compile ,The compiler will abort with an error if the path to cuda is not known. Add path to cuda to allow clang usage for the device code.,1,cmake,CUDA bug,2,0,fix clang device compile fix clang device compile  The compiler will abort with an error if the path to cuda is not known. Add path to cuda to allow clang usage for the device code. 1 cmake CUDA bug 2 0,fix clang device compile  The compiler will abort with an error if the path to cuda is not known. Add path to cuda to allow clang usage for the device code. 1 cmake CUDA bug 2 0,fix clang device compile The compiler will abort with an error if the path to cuda is not known. Add path to cuda to allow clang usage for the device code. 1 cmake CUDA bug 2 0,fix clang device compile fix clang device compile  1 cmake CUDA bug 2 0,fix clang device compile fix clang device compile  The compiler will abort with an error if the path to cuda is not known. Add path to cuda to allow clang usage for the device code. 1 cmake 2 0,fix clang device compile fix clang device compile  The compiler will abort with an error if the path to cuda is not known. Add path to cuda to allow clang usage for the device code. 1 CUDA bug 2 0,fix clang device compile fix clang device compile  The compiler will abort with an error if the path to cuda is not known. Add path to cuda to allow clang usage for the device code. cmake CUDA bug,fix clang device compile fix clang device compile  The compiler will abort with an error if the path to cuda is not known. Add path to cuda to allow clang usage for the device code.,bug
added a list view for all open tasks,added a list view for all open tasks,"Hello, I added a list view for all open tasks.",6,php,,127,1,"added a list view for all open tasks added a list view for all open tasks Hello, I added a list view for all open tasks. 6 php  127 1","added a list view for all open tasks Hello, I added a list view for all open tasks. 6 php  127 1","added a list view for all open tasks Hello, I added a list view for all open tasks. 6 php  127 1",added a list view for all open tasks added a list view for all open tasks 6 php  127 1,"added a list view for all open tasks added a list view for all open tasks Hello, I added a list view for all open tasks. 6 php 127 1","added a list view for all open tasks added a list view for all open tasks Hello, I added a list view for all open tasks. 6  127 1","added a list view for all open tasks added a list view for all open tasks Hello, I added a list view for all open tasks. php ","added a list view for all open tasks added a list view for all open tasks Hello, I added a list view for all open tasks.",feature
"Revert ""quit features replaced by stop; gradle upgraded; i2pd version… ","Revert ""quit features replaced by stop; gradle upgraded; i2pd version name updated at build.gradle",Reverts #1090,7,xml java,,50,45,"Revert ""quit features replaced by stop; gradle upgraded; i2pd version…  Revert ""quit features replaced by stop; gradle upgraded; i2pd version name updated at build.gradle Reverts #1090 7 xml java  50 45","Revert ""quit features replaced by stop; gradle upgraded; i2pd version name updated at build.gradle Reverts #1090 7 xml java  50 45","Revert ""quit features replaced by stop; gradle upgraded; i2pd version…  Reverts #1090 7 xml java  50 45","Revert ""quit features replaced by stop; gradle upgraded; i2pd version…  Revert ""quit features replaced by stop; gradle upgraded; i2pd version name updated at build.gradle 7 xml java  50 45","Revert ""quit features replaced by stop; gradle upgraded; i2pd version…  Revert ""quit features replaced by stop; gradle upgraded; i2pd version name updated at build.gradle Reverts #1090 7 xml java 50 45","Revert ""quit features replaced by stop; gradle upgraded; i2pd version…  Revert ""quit features replaced by stop; gradle upgraded; i2pd version name updated at build.gradle Reverts #1090 7  50 45","Revert ""quit features replaced by stop; gradle upgraded; i2pd version…  Revert ""quit features replaced by stop; gradle upgraded; i2pd version name updated at build.gradle Reverts #1090 xml java ","Revert ""quit features replaced by stop; gradle upgraded; i2pd version…  Revert ""quit features replaced by stop; gradle upgraded; i2pd version name updated at build.gradle Reverts #1090",revert
Scrutinizer Auto-Fixes,Scrutinizer Auto-Fixes,It consists of patches automatically generated for this project on Scrutinizer:,1,php,,9,8,Scrutinizer Auto-Fixes Scrutinizer Auto-Fixes It consists of patches automatically generated for this project on Scrutinizer: 1 php  9 8,Scrutinizer Auto-Fixes It consists of patches automatically generated for this project on Scrutinizer: 1 php  9 8,Scrutinizer Auto-Fixes It consists of patches automatically generated for this project on Scrutinizer: 1 php  9 8,Scrutinizer Auto-Fixes Scrutinizer Auto-Fixes 1 php  9 8,Scrutinizer Auto-Fixes Scrutinizer Auto-Fixes It consists of patches automatically generated for this project on Scrutinizer: 1 php 9 8,Scrutinizer Auto-Fixes Scrutinizer Auto-Fixes It consists of patches automatically generated for this project on Scrutinizer: 1  9 8,Scrutinizer Auto-Fixes Scrutinizer Auto-Fixes It consists of patches automatically generated for this project on Scrutinizer: php ,Scrutinizer Auto-Fixes Scrutinizer Auto-Fixes It consists of patches automatically generated for this project on Scrutinizer:,other
"crez now uses jruby-1.7.9 which defaults to 1.9 mode, and no longer u…",No more .rvmrc file for crez scripts,also crez now uses jruby 1.7 which defaults to 1.9 mode.,16,sh,,26,67,"crez now uses jruby-1.7.9 which defaults to 1.9 mode, and no longer u… No more .rvmrc file for crez scripts also crez now uses jruby 1.7 which defaults to 1.9 mode. 16 sh  26 67",No more .rvmrc file for crez scripts also crez now uses jruby 1.7 which defaults to 1.9 mode. 16 sh  26 67,"crez now uses jruby-1.7.9 which defaults to 1.9 mode, and no longer u… also crez now uses jruby 1.7 which defaults to 1.9 mode. 16 sh  26 67","crez now uses jruby-1.7.9 which defaults to 1.9 mode, and no longer u… No more .rvmrc file for crez scripts 16 sh  26 67","crez now uses jruby-1.7.9 which defaults to 1.9 mode, and no longer u… No more .rvmrc file for crez scripts also crez now uses jruby 1.7 which defaults to 1.9 mode. 16 sh 26 67","crez now uses jruby-1.7.9 which defaults to 1.9 mode, and no longer u… No more .rvmrc file for crez scripts also crez now uses jruby 1.7 which defaults to 1.9 mode. 16  26 67","crez now uses jruby-1.7.9 which defaults to 1.9 mode, and no longer u… No more .rvmrc file for crez scripts also crez now uses jruby 1.7 which defaults to 1.9 mode. sh ","crez now uses jruby-1.7.9 which defaults to 1.9 mode, and no longer u… No more .rvmrc file for crez scripts also crez now uses jruby 1.7 which defaults to 1.9 mode.",configuration
update chinese translation,update chinese translation,"hi, sir I completed 90% of rest chinese language. and I found there are many duplicated langs, need remove them?",1,php,,440,436,"update chinese translation update chinese translation hi, sir I completed 90% of rest chinese language. and I found there are many duplicated langs, need remove them? 1 php  440 436","update chinese translation hi, sir I completed 90% of rest chinese language. and I found there are many duplicated langs, need remove them? 1 php  440 436","update chinese translation hi, sir I completed 90% of rest chinese language. and I found there are many duplicated langs, need remove them? 1 php  440 436",update chinese translation update chinese translation 1 php  440 436,"update chinese translation update chinese translation hi, sir I completed 90% of rest chinese language. and I found there are many duplicated langs, need remove them? 1 php 440 436","update chinese translation update chinese translation hi, sir I completed 90% of rest chinese language. and I found there are many duplicated langs, need remove them? 1  440 436","update chinese translation update chinese translation hi, sir I completed 90% of rest chinese language. and I found there are many duplicated langs, need remove them? php ","update chinese translation update chinese translation hi, sir I completed 90% of rest chinese language. and I found there are many duplicated langs, need remove them?",translation
